label	exit_code	before_sha	after_sha	before_pid	after_pid	notes
positive-restore	0	12e102cf66e50f5abc19f6d2dd1f322d548cee25549d65ddb9adbbcd2aaf599c	12e102cf66e50f5abc19f6d2dd1f322d548cee25549d65ddb9adbbcd2aaf599c	48525	48525	exit0 expected; sha unchanged (content no-op); pid unchanged
negative-corrupted-backup	1	12e102cf66e50f5abc19f6d2dd1f322d548cee25549d65ddb9adbbcd2aaf599c	12e102cf66e50f5abc19f6d2dd1f322d548cee25549d65ddb9adbbcd2aaf599c	48525	48525	exit!=0 expected (refused); live sha/pid unchanged; live file NOT written
