seq	label	requests_this_step	running_total	cap
1	01-A-r1	1	1	10
2	01-B-r1	1	2	10
3	01-C-r1	1	3	10
4	04-A-r1	1	4	10
5	04-B-r1	1	5	10
6	04-C-r1	1	6	10
