seq	label	requests_this_step	running_total	cap
1	1a	1	0	14
2	1b	1	0	14
3	1d	1	1	14
4	1c	1	1	14
5	oi2	1	1	14
6	1c-retry	1	1	14
7	oi2-retry	1	2	14
