1	yaml-parses	PASS	python3 yaml.safe_load succeeded
2	drop_params-ban	PASS	no drop_params (any form) found anywhere in the file
3	baseline-preserved	PASS	flashnext + flashnext-codex deep-equal live vs candidate (see rung3-compare.txt)
4	real-boot	PASS	booted on 127.0.0.1:4010 after 2s, all 4 aliases served
